epoch,RMSE,loss,val_RMSE,val_loss
0,6.294013617789909,6.294013652082992,3.2440832617518667,3.2440832617518667
1,3.91178186036445,3.911781845866023,2.654966041281983,2.654966041281983
2,3.680727301372422,3.6807272881269455,2.6132215824755995,2.6132216348752872
3,3.411862347577069,3.4118623524098783,2.3233824968338013,2.323382575433333
4,3.233386517387547,3.233386516571045,2.5311525418208194,2.5311525549207414
5,3.270536448504474,3.2705364340060465,2.0098790585339725,2.0098790585339725
6,3.091457313961453,3.091457294093238,2.0736898524420604,2.0736898393421384
7,2.840443872425654,2.8404438969207138,2.0438636318667904,2.0438636580666345
8,2.7950365156740755,2.795036508424862,1.8181678436614654,1.8181678567613875
9,2.830645303203635,2.830645254213516,1.7685687830159953,1.7685687830159953
0,2.531768555510534,2.53176855796004,1.9122069373235597,1.9122069897232474
1,2.619647044025055,2.6196470562725853,1.6458973360585643,1.6458973111687125
2,2.5436434463874713,2.5436434415546625,1.8613339466053052,1.8613339466053052
3,2.468611721306631,2.468611726205643,1.7230461639362378,1.7230461259464642
4,2.4864856976352328,2.486485692736221,1.4370208939353188,1.4370208939353188
5,2.4973260939937747,2.497326084195751,2.2054338114602223,2.2054338376600664
6,2.5114449017668425,2.511444926261902,1.451055108190893,1.4510550950909709
7,2.34881347662782,2.34881347662782,1.2904188266167274,1.2904188266167274
8,2.2469692528247833,2.2469692383263564,1.4316700749344877,1.4316700749344877
9,2.2478526103986454,2.2478525981511157,1.6337221828135815,1.6337222090134254
0,2.2890470313699276,2.2890469970768446,1.4243209971176398,1.4243210167675229
1,2.1557996983397496,2.1557997007892555,1.4373698581706036,1.4373698581706036
2,2.1686360297137743,2.168636045227312,1.5566241177883777,1.5566241190983698
3,2.2171498891469597,2.2171498939797685,1.2169570097556481,1.216957042505453
4,2.197885083825621,2.1978850740275973,1.270679771900177,1.2706797519227961
0,2.0300141442311954,2.030014151579713,1.167316816010318,1.1673167767105521
1,2.01968943501172,2.0196894497087556,1.2354987522402963,1.23549877844014
2,2.0033517383240365,2.0033517334912276,1.4607625466126661,1.4607625073129005
3,2.0770629072842532,2.0770628999357355,1.0297503969171544,1.0297504165670375
4,1.9451347646647936,1.945134747518252,1.3777954617699424,1.3777954879697862
0,2.002518671589929,2.0025186595079063,1.294022879757724,1.2940228784477317
1,1.8533433750271797,1.8533433725436528,1.053402760526636,1.0534027474267142
0,1.882406771988482,1.882406753462714,1.0332829585442176,1.0332829454442958
1,1.8796011358499527,1.879601150751114,1.1578303103918557,1.1578303234917777
2,1.7853182868377582,1.7853182747557357,1.6155899343909799,1.6155899343909799
3,1.8352843131104561,1.835284318009468,1.1007352366552248,1.100735210455381
4,1.8740331465250826,1.8740331391765648,1.0994764055524553,1.0994763793526114
0,1.7754407843498334,1.7754407672032917,1.0985741667695097,1.098574160219549
1,1.787325060850865,1.7873250753492922,0.9822167276026128,0.9822167341525738
2,1.7130979489949014,1.7130979440278478,1.0991456845959464,1.0991457238957123
3,1.7562179170750283,1.7562179122422192,1.1786817145216597,1.1786816883218156
4,1.693481536760722,1.69348154410924,0.9650405442321693,0.9650405573320913
0,1.6523730322106245,1.6523730297611183,0.9736627975662986,0.9736628041162596
1,1.7379689562965084,1.737968949047295,1.3481320561943473,1.3481320561943473
2,1.640258695164772,1.640258692715266,0.9977087738749745,0.9977087738749745
