Pic Name,Total rebars
test_Depth_9280.png,26.66163
20191024_10852_Depth_112034.png,15.17163
test_Depth_14496.png,21.296934
20190531_105600_Depth_5472.png,28.84555
20190531_100725_Depth_20817.png,13.929244
20191024_10852_Depth_111967.png,15.039022
20190531_105339_Depth_928.png,35.26244
20191024_100019_Depth_63422.png,14.666311
20191024_10852_Depth_112028.png,15.097235
20191024_100019_Depth_63511.png,14.596609
20190531_105339_Depth_870.png,34.013214
20191024_100109_Depth_64693.png,16.552502
20191024_10852_Depth_112066.png,15.212206
test_Depth_54547.png,25.532076
20190531_102916_Depth_1105.png,28.075266
20190531_100633_Depth_19312.png,10.13575
20191024_10852_Depth_112015.png,15.167536
20190531_100633_Depth_19277.png,9.251482
20190531_102916_Depth_1190.png,28.53429
20191024_095044_Depth_47269.png,13.7800255
20191024_095044_Depth_47312.png,13.550534
test_Depth_6584.png,27.857481
20191024_100019_Depth_63475.png,14.698863
20190531_100248_Depth_14606.png,22.55319
test_Depth_14676.png,23.690105
20191024_100109_Depth_64611.png,16.558556
20190531_105339_Depth_885.png,34.70479
20191024_100019_Depth_63489.png,14.86395
20190531_102916_Depth_1200.png,27.98424
test_Depth_65132.png,27.695177
20190531_100725_Depth_20902.png,13.701953
20191024_095044_Depth_47289.png,13.851885
test_Depth_54558.png,25.349817
20191024_100019_Depth_63416.png,14.517264
20191024_100109_Depth_64583.png,16.71029
20190531_102916_Depth_1050.png,27.939825
20191024_100109_Depth_64599.png,16.532785
20191024_100109_Depth_64655.png,16.671202
20191024_095044_Depth_47335.png,13.830373
20191024_100109_Depth_64646.png,16.575565
test_Depth_54561.png,25.075024
20190531_105600_Depth_5502.png,28.082066
20191024_10852_Depth_112004.png,14.984954
20191024_100019_Depth_63402.png,14.9186
20191024_100109_Depth_64680.png,16.447783
20191024_100019_Depth_63509.png,14.457636
20190531_105339_Depth_893.png,34.650513
20190531_103143_Depth_5500.png,35.731815
20190531_102916_Depth_1164.png,27.399628
20190531_103143_Depth_5430.png,34.81612
20190531_102916_Depth_1062.png,28.109846
20191024_095044_Depth_47400.png,13.708104
20190531_105339_Depth_947.png,35.6674
test_Depth_65204.png,25.8482
test_Depth_16097.png,23.087627
20191024_10852_Depth_111977.png,15.145736
20191024_100019_Depth_63414.png,14.6792345
20191024_10852_Depth_111958.png,15.511049
20191024_095044_Depth_47303.png,13.459743
20190531_100248_Depth_14497.png,19.97893
test_Depth_9025.png,26.750082
20191024_095044_Depth_47279.png,13.599918
20190531_100725_Depth_20868.png,13.05014
test_Depth_65170.png,27.103403
20190531_100633_Depth_19321.png,10.882049
test_Depth_14747.png,25.886257
test_Depth_15197.png,22.50074
20190531_105600_Depth_5534.png,25.46459
20191024_095044_Depth_47295.png,13.579126
20190531_103143_Depth_5452.png,33.762554
test_Depth_15783.png,24.17383
20191024_100019_Depth_63436.png,14.821654
test_Depth_65127.png,27.87608
20191024_095044_Depth_47276.png,13.585512
20190531_103143_Depth_5449.png,34.702354
20190531_103143_Depth_5464.png,33.576015
test_Depth_49250.png,17.957487
20191024_095044_Depth_47301.png,13.6928215
20191024_100109_Depth_64683.png,16.770048
20191024_100019_Depth_63514.png,14.540353
20191024_10852_Depth_112027.png,15.097434
test_Depth_49240.png,17.447313
20191024_10852_Depth_111968.png,15.281347
20190531_103143_Depth_5510.png,35.35452
20191024_10852_Depth_112007.png,15.211646
20190531_105600_Depth_5480.png,26.97603
20191024_095044_Depth_47322.png,13.909453
test_Depth_8698.png,25.921633
20191024_095044_Depth_47325.png,13.616073
20190531_103143_Depth_5442.png,35.577793
20190531_105339_Depth_908.png,33.219078
20190531_100633_Depth_19254.png,7.5143623
20191024_100109_Depth_64642.png,16.627407
20191024_100109_Depth_64589.png,16.52201
20190531_105600_Depth_5485.png,28.320112
20190531_102916_Depth_1143.png,28.238836
test_Depth_15136.png,23.409008
test_Depth_65208.png,25.526863
20190531_100633_Depth_19281.png,8.978064
20191024_095044_Depth_47316.png,13.95991
20191024_100019_Depth_63487.png,14.899997
