image,label
000.png,1
001.png,1
002.png,0
003.png,0
004.png,1
005.png,0
006.png,1
007.png,1
008.png,0
009.png,0
010.png,1
011.png,0
012.png,1
013.png,1
014.png,1
015.png,0
016.png,0
017.png,1
018.png,0
019.png,0
020.png,0
021.png,1
022.png,0
023.png,0
024.png,1
025.png,0
026.png,0
027.png,0
028.png,1
029.png,0
030.png,1
031.png,1
032.png,1
033.png,1
034.png,0
035.png,1
036.png,0
037.png,1
038.png,1
039.png,1
040.png,0
041.png,0
042.png,1
043.png,1
044.png,0
045.png,1
046.png,0
047.png,1
048.png,0
049.png,1
050.png,0
051.png,0
052.png,1
053.png,1
054.png,0
055.png,0
056.png,1
057.png,0
058.png,1
059.png,0
060.png,0
061.png,1
062.png,1
063.png,0
064.png,0
065.png,0
066.png,0
067.png,1
068.png,1
069.png,0
070.png,0
071.png,0
072.png,1
073.png,1
074.png,1
075.png,1
076.png,1
077.png,0
078.png,0
079.png,0
080.png,0
081.png,0
082.png,0
083.png,1
084.png,1
085.png,0
086.png,1
087.png,0
088.png,0
089.png,1
090.png,0
091.png,0
092.png,0
093.png,1
094.png,0
095.png,0
096.png,0
097.png,0
098.png,0
099.png,1
100.png,1
101.png,0
102.png,0
103.png,0
104.png,0
105.png,1
106.png,0
107.png,0
108.png,0
109.png,0
110.png,0
111.png,1
112.png,0
113.png,1
114.png,0
115.png,0
116.png,0
117.png,0
118.png,0
119.png,1
120.png,1
121.png,0
122.png,1
123.png,0
124.png,0
125.png,0
126.png,0
127.png,1
128.png,0
129.png,0
130.png,0
131.png,0
132.png,1
133.png,1
134.png,1
135.png,1
136.png,0
137.png,0
138.png,1
139.png,0
140.png,0
141.png,0
142.png,1
143.png,0
144.png,0
145.png,0
146.png,0
147.png,0
148.png,1
149.png,0
150.png,0
151.png,1
152.png,1
153.png,1
154.png,1
155.png,1
156.png,0
157.png,0
158.png,1
159.png,1
160.png,0
161.png,0
162.png,0
163.png,0
164.png,0
165.png,0
166.png,1
167.png,0
168.png,1
169.png,1
170.png,0
171.png,1
172.png,0
173.png,1
174.png,0
175.png,0
176.png,0
177.png,0
178.png,0
179.png,0
180.png,1
181.png,0
182.png,0
183.png,0
184.png,0
185.png,0
186.png,1
187.png,0
188.png,1
189.png,0
190.png,0
191.png,0
192.png,1
193.png,0
194.png,1
195.png,0
196.png,1
197.png,1
198.png,1
199.png,0
200.png,1
201.png,0
202.png,0
203.png,0
204.png,0
205.png,0
206.png,1
207.png,1
208.png,0
209.png,1
210.png,1
211.png,0
212.png,1
213.png,0
214.png,0
215.png,0
216.png,0
217.png,0
218.png,0
219.png,0
220.png,1
221.png,0
222.png,0
223.png,0
224.png,0
225.png,1
226.png,0
227.png,1
228.png,0
229.png,0
230.png,0
231.png,1
232.png,1
233.png,1
234.png,0
235.png,0
236.png,0
237.png,0
238.png,1
239.png,0
240.png,0
241.png,0
242.png,0
243.png,1
244.png,1
245.png,1
246.png,0
247.png,0
248.png,0
249.png,0
250.png,1
251.png,1
252.png,0
253.png,0
254.png,1
255.png,1
256.png,1
257.png,0
258.png,0
259.png,0
260.png,0
261.png,1
262.png,1
263.png,0
264.png,0
265.png,0
266.png,0
267.png,1
268.png,0
269.png,1
270.png,0
271.png,0
272.png,0
273.png,0
274.png,0
275.png,0
276.png,0
277.png,1
278.png,0
279.png,0
280.png,0
281.png,0
282.png,0
283.png,1
284.png,1
285.png,0
286.png,1
287.png,0
288.png,0
289.png,0
290.png,1
291.png,0
292.png,0
293.png,1
294.png,0
295.png,1
296.png,1
297.png,0
298.png,0
299.png,1
300.png,1
301.png,0
302.png,0
303.png,0
304.png,1
305.png,1
306.png,0
307.png,1
308.png,0
309.png,1
310.png,0
311.png,0
312.png,1
313.png,0
314.png,0
315.png,0
316.png,1
317.png,0
318.png,0
319.png,0
320.png,0
321.png,1
322.png,0
323.png,0
324.png,1
325.png,0
326.png,0
327.png,0
328.png,1
329.png,1
330.png,0
331.png,0
332.png,1
333.png,0
334.png,0
335.png,0
336.png,1
337.png,0
338.png,0
339.png,0
340.png,0
341.png,0
342.png,0
343.png,0
344.png,0
345.png,1
346.png,0
347.png,1
348.png,0
349.png,1
350.png,0
351.png,1
352.png,1
353.png,0
354.png,0
355.png,1
356.png,1
357.png,0
358.png,1
359.png,0
360.png,0
361.png,0
362.png,0
363.png,0
364.png,0
365.png,0
366.png,1
367.png,1
368.png,1
369.png,0
370.png,1
371.png,0
372.png,0
373.png,1
374.png,0
375.png,0
376.png,0
377.png,1
378.png,0
379.png,0
380.png,1
381.png,1
382.png,1
383.png,0
384.png,1
385.png,0
386.png,1
387.png,0
388.png,1
389.png,0
390.png,1
391.png,0
392.png,0
393.png,1
394.png,0
395.png,1
396.png,0
397.png,0
398.png,0
399.png,0
400.png,0
401.png,1
402.png,1
403.png,0
404.png,1
405.png,0
406.png,1
407.png,0
408.png,0
409.png,1
410.png,0
411.png,1
412.png,0
413.png,1
414.png,0
415.png,0
416.png,1
417.png,0
418.png,0
419.png,0
420.png,0
421.png,1
422.png,0
423.png,0
424.png,0
425.png,0
426.png,0
427.png,0
428.png,1
429.png,1
430.png,0
431.png,0
432.png,0
433.png,1
434.png,0
435.png,1
436.png,0
437.png,1
438.png,0
439.png,1
440.png,0
441.png,0
442.png,0
443.png,0
444.png,0
445.png,1
446.png,1
447.png,0
448.png,0
449.png,1
450.png,0
451.png,1
452.png,1
453.png,0
454.png,0
455.png,0
456.png,1
457.png,1
458.png,0
459.png,0
460.png,0
461.png,0
462.png,0
463.png,1
464.png,0
465.png,0
466.png,0
467.png,1
468.png,0
469.png,0
470.png,1
471.png,0
472.png,0
473.png,0
474.png,0
475.png,1
476.png,1
477.png,1
478.png,0
479.png,0
480.png,1
481.png,1
482.png,0
483.png,0
484.png,0
485.png,1
486.png,1
487.png,0
488.png,0
489.png,1
490.png,0
491.png,0
492.png,0
493.png,1
494.png,0
495.png,0
496.png,1
497.png,1
498.png,1
499.png,0
500.png,1
501.png,1
502.png,0
503.png,0
504.png,1
505.png,1
506.png,0
507.png,0
508.png,0
509.png,1
510.png,0
511.png,0
512.png,0
513.png,1
514.png,1
515.png,0
516.png,0
517.png,1
518.png,1
519.png,1
520.png,0
521.png,1
522.png,0
523.png,1
524.png,1
525.png,1
526.png,0
527.png,0
528.png,0
529.png,1
530.png,0
531.png,0
532.png,0
533.png,0
534.png,0
535.png,1
536.png,0
537.png,0
538.png,1
539.png,0
540.png,0
541.png,0
542.png,1
543.png,1
544.png,0
545.png,0
546.png,1
547.png,1
548.png,1
549.png,0
550.png,1
551.png,1
552.png,1
553.png,1
554.png,0
555.png,0
556.png,0
557.png,0
558.png,1
559.png,0
560.png,0
561.png,0
562.png,1
563.png,0
564.png,0
565.png,1
566.png,0
567.png,0
568.png,0
569.png,0
570.png,0
571.png,0
572.png,0
573.png,1
574.png,0
575.png,0
576.png,0
577.png,1
578.png,1
579.png,0
580.png,0
581.png,1
582.png,0
583.png,0
584.png,1
585.png,0
586.png,1
587.png,1
588.png,1
589.png,1
590.png,0
591.png,0
592.png,0
593.png,1
594.png,0
595.png,0
596.png,0
597.png,1
598.png,0
599.png,1
600.png,1
601.png,0
602.png,0
603.png,1
604.png,0
605.png,0
606.png,1
607.png,1
608.png,1
